,latitude,longitude,start_time,city_name,title,url,venue_name,venue_address,postal_code,all_day,calendar_count,comment_count
6,47.540397,7.618213900000001,2019-09-01 16:00:00,Basel,FC Basel v FC Lugano,http://eventful.com/events/fc-basel-v-fc-lugano-/E0-001-128632729-5?utm_source=apis&utm_medium=apim&utm_campaign=apic,St. Jakobshalle,Brüglingerstr. 19-21,4052.0,0,,
7,47.5667,7.6,2019-09-01 09:00:00,Basel,NLP Practitioner Certification Course,http://eventful.com/events/nlp-practitioner-certification-course-/E0-001-127599417-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,Riehenstrasse 64,64 Riehenstrasse,,0,,
8,47.549546,7.587690299999999,2019-09-01 12:00:00,Basel,"LET'S BRUNCH: BALANCING MIND, BODY & HUSTLE",http://eventful.com/events/lets-brunch-balancing-mind-body-hustle-/E0-001-129519680-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,Steinentorberg 18,18 Steinentorberg,,0,,
9,47.5667,7.6,2019-09-02 19:00:00,Basel,Quickly Make Money Online - Online Webinar Basel,http://eventful.com/events/quickly-make-money-online-online-we-/E0-001-128312936-4@2019090219?utm_source=apis&utm_medium=apim&utm_campaign=apic,Museum of Contemporary Art,60 Sankt Alban-Rheinweg,,0,,
10,47.5709969,7.6104512,2019-09-02 18:00:00,Basel,"Yoga & Stressrelease für Nacken, Schultern und Rücken",http://eventful.com/events/yoga-stressrelease-fr-nacken-schult-/E0-001-128933156-3@2019090218?utm_source=apis&utm_medium=apim&utm_campaign=apic,Quartierraum Schoren,Schorenweg 33,,0,,
11,47.5667,7.6,2019-09-02 10:00:00,Basel,"UX 360° – Certified UX & Usability Expert, Basel",http://eventful.com/events/ux-360-certified-ux-usability-expert-basel-/E0-001-123614631-2?utm_source=apis&utm_medium=apim&utm_campaign=apic,"Basel, Basel-Stadt, Switzerland",,,0,,
12,47.5667,7.6,2019-09-02 14:00:00,Basel,Phase 4: Success employee integration from day one following merger and acquisition,http://eventful.com/events/phase-4-success-employee-integration-/E0-001-129704976-4@2019090214?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
13,47.5667,7.6,2019-09-02 14:00:00,Basel,Phase 5: Success daily cross service collaboration for better productivity,http://eventful.com/events/phase-5-success-daily-cross-service-/E0-001-129705008-9@2019090214?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
14,47.5667,7.6,2019-09-02 14:00:00,Basel,Phase 2: Success employee integration with effective actions and reduced cost,http://eventful.com/events/phase-2-success-employee-integration-/E0-001-129704928-7@2019090214?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
15,47.5667,7.6,2019-09-02 14:00:00,Basel,Phase 1: Success recruitment with reduced risk and cost,http://eventful.com/events/phase-1-success-recruitment-reduced-/E0-001-129704907-4@2019090214?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
